dd mo yyyy hh mi weight
17 01 2019 06 19 98.8  
17 01 2019 06 19 99  
13 01 2019 05 37 97.7  
13 01 2019 05 36 98.2  
13 01 2019 05 36 98  
13 01 2019 05 36 98.3  
10 01 2019 06 30 97.6  
10 01 2019 06 30 97.4  
10 01 2019 06 30 98.1  
10 01 2019 06 30 98.1  
10 01 2019 06 29 98.1  
09 01 2019 05 56 98.2  
09 01 2019 05 55 98.7  
09 01 2019 05 55 98.3  
09 01 2019 05 55 99  
08 01 2019 06 33 99  
08 01 2019 06 33 100.2  
08 01 2019 06 33 97.9  
08 01 2019 06 33 98.3  
07 01 2019 06 31 98.1  
07 01 2019 06 31 98.5  
07 01 2019 06 31 97.9  
07 01 2019 06 31 98.5  
06 01 2019 06 19 97.8  
06 01 2019 06 18 98.4  
06 01 2019 06 18 97.6  
06 01 2019 06 18 99  
05 01 2019 06 20 98.5  
05 01 2019 06 19 98.9  
05 01 2019 06 19 98.8  
05 01 2019 06 19 98.9  
02 01 2019 07 08 98.1  
02 01 2019 07 08 98.9  
02 01 2019 07 08 98.6  
02 01 2019 07 08 98.1  
02 01 2019 07 07 98.6  
01 01 2019 05 49 97.8  
01 01 2019 05 48 98.5  
01 01 2019 05 48 98.4  
01 01 2019 05 48 98.1  
01 01 2019 05 48 97.4  
01 01 2019 05 48 98.3  
31 12 2018 08 13 97.8  
31 12 2018 08 13 98.2  
31 12 2018 08 12 97.3  
31 12 2018 08 12 98.1  
30 12 2018 08 43 97.8  
30 12 2018 08 43 98.4  
30 12 2018 08 42 98.8  
30 12 2018 08 42 98.1  
30 12 2018 08 42 97.6  
30 12 2018 08 42 98.3  
29 12 2018 07 19 98.9  
29 12 2018 07 18 99  
29 12 2018 07 18 99.4  
29 12 2018 07 18 98.9  
28 12 2018 08 06 98.6  
28 12 2018 08 06 98.7  
28 12 2018 08 05 99.2  
28 12 2018 08 05 98.3  
28 12 2018 08 05 98.8  
28 12 2018 08 02 99.4  
28 12 2018 08 02 98.8  
27 12 2018 08 46 98.5  
27 12 2018 08 46 98.1  
27 12 2018 08 45 98.1  
27 12 2018 08 45 98.8  
26 12 2018 06 39 98.4  
26 12 2018 06 39 97.7  
26 12 2018 06 39 98.1  
26 12 2018 06 38 97.4  
26 12 2018 06 38 98.4  
25 12 2018 08 06 97.9  
25 12 2018 08 06 97.8  
25 12 2018 08 06 97.5  
25 12 2018 08 05 98.8  
24 12 2018 07 45 97.9  
24 12 2018 07 45 97.8  
24 12 2018 07 45 97.7  
24 12 2018 07 45 97.5  
24 12 2018 07 44 98.1  
23 12 2018 05 19 97.6  
23 12 2018 05 19 98.7  
23 12 2018 05 19 98.5  
23 12 2018 05 19 97.7  
23 12 2018 05 18 97.4  
23 12 2018 05 18 98.1  
23 12 2018 05 18 98.1  
22 12 2018 07 23 98.1  
22 12 2018 07 23 97.9  
22 12 2018 07 23 97.7  
22 12 2018 07 23 98.2  
18 12 2018 04 48 98.1  
18 12 2018 04 48 97.7  
18 12 2018 04 48 97.7  
18 12 2018 04 48 97.6  
18 12 2018 04 47 98.9  
17 12 2018 05 33 98.1  
17 12 2018 05 32 97.6  
17 12 2018 05 32 98.4  
17 12 2018 05 32 98.3  
17 12 2018 05 32 97.6  
16 12 2018 09 01 98  
16 12 2018 09 00 98  
16 12 2018 09 00 97.9  
16 12 2018 09 00 98.2  
16 12 2018 09 00 97.2  
16 12 2018 09 00 97.4  
15 12 2018 07 31 97.8  
15 12 2018 07 30 97.5  
14 12 2018 07 02 98  
14 12 2018 07 02 98.5  
14 12 2018 07 02 98.1  
14 12 2018 07 01 99.1  
14 12 2018 06 57 99.2  
14 12 2018 06 57 98.4  
14 12 2018 06 57 98.5  
14 12 2018 06 56 99.2  
13 12 2018 06 52 98.4  
13 12 2018 06 49 99.3  
13 12 2018 06 48 98.7  
12 12 2018 06 51 97.6  
12 12 2018 06 46 98.3  
12 12 2018 06 46 98.1  
11 12 2018 06 26 97.9  
11 12 2018 06 26 98.3  
11 12 2018 06 25 97.8  
11 12 2018 06 25 98.5  
11 12 2018 06 25 98.1  
10 12 2018 06 17 97.7  
10 12 2018 06 17 98.1  
10 12 2018 06 17 97.6  
10 12 2018 06 17 97.6  
08 12 2018 08 22 98.8  
08 12 2018 08 22 98.2  
08 12 2018 08 22 98.4  
08 12 2018 08 22 98.7  
08 12 2018 08 21 97.9  
07 12 2018 06 33 97.9  
07 12 2018 06 33 98.3  
06 12 2018 06 32 99.3  
06 12 2018 06 32 98.6  
06 12 2018 06 32 99.9  
05 12 2018 06 24 99  
05 12 2018 06 23 99.6  
05 12 2018 06 23 99.5  
05 12 2018 06 23 99.4  
04 12 2018 06 50 98.4  
04 12 2018 06 50 98.8  
04 12 2018 06 50 98.2  
03 12 2018 06 20 98.6  
03 12 2018 06 20 98.7  
03 12 2018 06 20 98.1  
03 12 2018 06 20 98.8  
01 12 2018 07 04 98.3  
01 12 2018 07 03 98.2  
01 12 2018 07 03 98.8  
30 11 2018 05 32 98.4  
30 11 2018 05 32 98.5  
30 11 2018 05 32 97.9  
30 11 2018 05 32 98.5  
29 11 2018 06 09 98.7  
29 11 2018 06 08 98.7  
29 11 2018 06 08 98.8  
28 11 2018 05 28 98.5  
28 11 2018 05 28 98.5  
28 11 2018 05 28 99.5  
28 11 2018 05 27 98  
28 11 2018 05 27 98.9  
27 11 2018 05 12 98.4  
27 11 2018 05 12 97.7  
27 11 2018 05 11 97.8  
27 11 2018 05 11 99  
27 11 2018 05 11 98.4  
26 11 2018 06 11 97.5  
26 11 2018 06 11 97.9  
26 11 2018 06 11 97.4  
26 11 2018 06 11 98  
25 11 2018 06 30 97.7  
25 11 2018 06 29 98.3  
25 11 2018 06 29 97.6  
25 11 2018 06 29 97.6  
24 11 2018 05 54 98.7  
24 11 2018 05 54 98.5  
24 11 2018 05 54 98.9  
23 11 2018 06 13 98.5  
23 11 2018 06 12 98.8  
23 11 2018 06 12 98.1  
21 11 2018 06 49 97.8  
21 11 2018 06 49 97.8  
21 11 2018 06 48 97.7  
20 11 2018 06 42 97.7  
20 11 2018 06 41 98.1  
20 11 2018 06 41 97.9  
20 11 2018 06 41 97.9  
19 11 2018 06 13 98  
19 11 2018 06 12 97.5  
19 11 2018 06 12 97.7  
19 11 2018 06 12 98.3  
17 11 2018 06 02 98.5  
17 11 2018 06 02 98.3  
17 11 2018 06 01 98.7  
16 11 2018 06 19 98.5  
16 11 2018 06 19 98.3  
16 11 2018 06 19 98.6  
14 11 2018 06 20 98.1  
14 11 2018 06 20 98.4  
14 11 2018 06 20 98.2  
14 11 2018 06 20 98.6  
14 11 2018 06 19 97.8  
14 11 2018 06 19 98.1  
13 11 2018 06 14 98.6  
13 11 2018 06 13 98.1  
13 11 2018 06 13 98.3  
12 11 2018 06 08 98.8  
12 11 2018 06 08 99  
12 11 2018 06 07 98.2  
12 11 2018 06 07 98.7  
11 11 2018 07 27 98.5  
11 11 2018 07 27 98.6  
11 11 2018 07 27 98.3  
09 11 2018 06 24 98.6  
09 11 2018 06 24 99.6  
09 11 2018 06 23 98.6  
09 11 2018 06 23 98  
09 11 2018 06 23 98.9  
08 11 2018 06 03 98.6  
08 11 2018 06 03 99.1  
08 11 2018 06 03 99.1  
08 11 2018 06 03 98.9  
05 11 2018 06 12 98.4  
05 11 2018 06 12 98.2  
05 11 2018 06 11 98.4  
02 11 2018 06 11 97.9  
02 11 2018 06 11 98.1  
01 11 2018 06 22 98.2  
01 11 2018 06 21 98.2  
31 10 2018 07 11 98  
31 10 2018 07 10 97.9  
31 10 2018 07 10 98.7  
29 10 2018 06 26 98.1  
29 10 2018 06 26 98.6  
28 10 2018 06 15 98.4  
28 10 2018 06 15 98.3  
27 10 2018 08 14 98.9  
26 10 2018 07 17 98.9  
26 10 2018 07 17 99.3  
26 10 2018 07 17 99  
24 10 2018 06 36 98.3  
24 10 2018 06 36 98.2  
23 10 2018 06 50 97.8  
23 10 2018 06 50 98.5  
23 10 2018 06 50 98.2  
21 10 2018 08 48 98  
21 10 2018 08 48 97.9  
18 10 2018 08 06 98.4  
18 10 2018 08 05 98.4  
18 10 2018 08 05 98.6  
17 10 2018 06 58 98.5  
17 10 2018 06 58 98.5  
17 10 2018 06 57 99.1  
11 10 2018 06 10 97.9  
11 10 2018 06 10 98  
10 10 2018 06 11 97.7  
10 10 2018 06 11 98.1  
10 10 2018 06 11 98.9  
10 10 2018 06 10 98  
09 10 2018 05 54 98.3  
09 10 2018 05 53 98.6  
07 10 2018 07 23 98.3  
07 10 2018 07 23 98.8  
04 10 2018 06 07 97.6  
04 10 2018 06 07 98.1  
04 10 2018 06 06 97.7  
02 10 2018 06 40 97.9  
02 10 2018 06 39 97.9  
02 10 2018 06 38 97.9  
02 10 2018 06 38 97.8  
02 10 2018 06 37 97.3  
01 10 2018 06 17 97.5  
01 10 2018 06 17 97.3  
01 10 2018 06 16 97.9  
30 09 2018 09 28 97.8  
30 09 2018 09 27 98  
30 09 2018 09 27 98  
30 09 2018 09 27 97.6  
27 09 2018 06 28 98.3  
27 09 2018 06 28 98.4  
27 09 2018 06 27 98.6  
25 09 2018 06 21 97.9  
25 09 2018 06 20 97.8  
25 09 2018 06 20 97.2  
25 09 2018 06 20 97.5  
22 09 2018 07 50 98.6  
22 09 2018 07 49 99  
22 09 2018 07 49 98.4  
22 09 2018 07 49 99.1  
21 09 2018 05 52 98.7  
21 09 2018 05 51 98.4  
21 09 2018 05 51 98.6  
21 09 2018 05 51 97.9  
21 09 2018 05 50 98.2  
20 09 2018 06 35 98.7  
20 09 2018 06 35 98.9  
20 09 2018 06 35 99.3  
19 09 2018 06 31 97.8  
19 09 2018 06 31 98.1  
19 09 2018 06 30 98.2  
18 09 2018 06 34 98.5  
18 09 2018 06 34 98.8  
18 09 2018 06 33 98.5  
17 09 2018 06 52 98  
17 09 2018 06 51 98.1  
17 09 2018 06 51 98  
17 09 2018 06 51 97.9  
17 09 2018 06 50 98  
17 09 2018 06 50 98.1  
16 09 2018 08 01 98  
16 09 2018 08 01 98.3  
16 09 2018 08 00 97.6  
16 09 2018 08 00 97.9  
14 09 2018 06 39 98.5  
14 09 2018 06 39 98.7  
14 09 2018 06 38 98.7  
14 09 2018 06 38 99.1  
13 09 2018 07 09 98.7  
13 09 2018 07 08 98.7  
13 09 2018 07 08 98.1  
13 09 2018 07 08 98.7  
12 09 2018 07 15 98.2  
12 09 2018 07 15 98.4  
12 09 2018 07 15 98.6  
11 09 2018 07 06 98  
11 09 2018 07 06 98.2  
11 09 2018 07 05 98.2  
11 09 2018 07 05 97.9  
30 08 2018 06 54 99  
30 08 2018 06 53 99.3  
30 08 2018 06 53 98.8  
30 08 2018 06 53 99.3  
30 08 2018 06 52 99.4  
29 08 2018 06 13 98.1  
29 08 2018 06 13 98.5  
29 08 2018 06 12 98.8  
29 08 2018 06 12 98.2  
28 08 2018 08 19 98.7  
28 08 2018 08 19 99  
28 08 2018 08 19 98.8  
28 08 2018 08 18 98.8  
28 08 2018 08 18 99.1  
28 08 2018 08 18 100.4  
26 08 2018 07 54 99.2  
26 08 2018 07 54 98.6  
26 08 2018 07 53 99.4  
26 08 2018 07 53 98.8  
26 08 2018 07 52 99.1  
26 08 2018 07 52 99.1  
25 08 2018 07 17 98.9  
25 08 2018 07 17 98.7  
25 08 2018 07 16 98.6  
25 08 2018 07 16 99.2  
25 08 2018 07 16 99  
25 08 2018 07 15 99.8  
25 08 2018 07 15 99.1  
25 08 2018 07 15 98.9  
24 08 2018 06 27 98  
24 08 2018 06 26 97.7  
24 08 2018 06 26 98  
24 08 2018 06 25 98  
23 08 2018 06 39 99.1  
23 08 2018 06 39 99  
23 08 2018 06 39 99.3  
23 08 2018 06 38 99  
23 08 2018 06 38 99.2  
22 08 2018 06 30 98.5  
22 08 2018 06 30 98.6  
22 08 2018 06 29 98.6  
22 08 2018 06 29 99.1  
22 08 2018 05 52 99  
22 08 2018 05 51 99.1  
22 08 2018 05 51 98.9  
22 08 2018 05 50 99  
21 08 2018 07 51 98.6  
21 08 2018 07 51 99.2  
21 08 2018 07 51 99.1  
21 08 2018 07 50 98.8  
21 08 2018 06 17 99.2  
21 08 2018 06 17 98.8  
21 08 2018 06 16 99.2  
20 08 2018 07 06 99  
20 08 2018 07 06 99  
19 08 2018 08 00 98.9  
19 08 2018 07 59 99.5  
19 08 2018 07 59 99.3  
18 08 2018 07 32 99.8  
18 08 2018 07 30 99.7  
